text,category
"Pothole on the main road near the school","infrastructure_defect"
"Large crack on the road causing vehicles to slow down","infrastructure_defect"
"Streetlight not working at night","infrastructure_defect"
"Broken traffic light at busy junction","infrastructure_defect"
"Damaged pavement making it unsafe to walk","infrastructure_defect"
"Road surface is uneven and dangerous","infrastructure_defect"
"Hole forming on the highway lane","infrastructure_defect"
"Streetlamp flickering and sometimes goes off","infrastructure_defect"
"Collapsed drain cover on the roadside","infrastructure_defect"
"Traffic signal not functioning properly","infrastructure_defect"
"Sidewalk tiles broken near bus stop","infrastructure_defect"
"Manhole cover is loose and unstable","infrastructure_defect"
"Bridge surface has visible cracks","infrastructure_defect"
"Road markings have faded completely","infrastructure_defect"
"Street infrastructure is badly damaged","infrastructure_defect"
"Broken guardrail along the road","infrastructure_defect"
"Street sign is bent and unreadable","infrastructure_defect"
"Damaged speed bump causing vehicles to jump","infrastructure_defect"
"Pedestrian crossing light not working","infrastructure_defect"
"Road looks unsafe due to surface damage","infrastructure_defect"

"Flood water entered residential area","natural_hazard"
"Heavy rain caused water to rise rapidly","natural_hazard"
"Flooding after continuous rainfall","natural_hazard"
"Tree fell across the road after storm","natural_hazard"
"Landslide occurred near hillside houses","natural_hazard"
"Strong winds caused debris on the road","natural_hazard"
"Flash flood reported near town area","natural_hazard"
"River overflowed due to heavy rain","natural_hazard"
"Tree branches blocking road after storm","natural_hazard"
"Water level rising dangerously fast","natural_hazard"
"Mudslide after heavy rainfall","natural_hazard"
"Flooded street making it impassable","natural_hazard"
"Natural disaster caused road blockage","natural_hazard"
"Rainwater accumulated rapidly on road","natural_hazard"
"Storm damage affecting nearby area","natural_hazard"
"Floodwaters damaged nearby infrastructure","natural_hazard"
"Heavy rain caused fallen trees","natural_hazard"
"Natural hazard affecting public safety","natural_hazard"
"Strong storm caused flooding","natural_hazard"
"Area submerged due to heavy rainfall","natural_hazard"

"Car accident at highway junction","traffic_accident"
"Vehicle collision involving two cars","traffic_accident"
"Motorcycle crash reported last night","traffic_accident"
"Accident between car and motorcycle","traffic_accident"
"Traffic accident causing road blockage","traffic_accident"
"Car crashed into road divider","traffic_accident"
"Serious accident occurred at intersection","traffic_accident"
"Vehicle accident during rush hour","traffic_accident"
"Hit and run accident reported","traffic_accident"
"Crash involving multiple vehicles","traffic_accident"
"Motorbike skidded and caused accident","traffic_accident"
"Car overturned after collision","traffic_accident"
"Traffic collision resulted in injuries","traffic_accident"
"Accident caused traffic congestion","traffic_accident"
"Road accident reported by residents","traffic_accident"
"Collision between lorry and car","traffic_accident"
"Vehicle crash happened early morning","traffic_accident"
"Traffic accident near residential area","traffic_accident"
"Serious crash on main road","traffic_accident"
"Accident occurred under unclear circumstances","traffic_accident"

"Open manhole posing danger to pedestrians","public_safety_issue"
"Exposed wiring near walkway","public_safety_issue"
"Dangerous open drain without cover","public_safety_issue"
"Uncovered hole on the sidewalk","public_safety_issue"
"Unsafe construction materials left on road","public_safety_issue"
"Broken railing causing safety risk","public_safety_issue"
"Sharp metal object exposed on pavement","public_safety_issue"
"Dangerous debris left on footpath","public_safety_issue"
"Public area looks unsafe for walking","public_safety_issue"
"Loose electrical cables hanging low","public_safety_issue"
"Collapsed structure posing danger","public_safety_issue"
"Open pit near playground","public_safety_issue"
"Unsafe condition reported by residents","public_safety_issue"
"Fallen signboard creating hazard","public_safety_issue"
"Unsecured barrier on roadside","public_safety_issue"
"Exposed nails on wooden structure","public_safety_issue"
"Broken fence allowing access to danger zone","public_safety_issue"
"Unsafe public facility reported","public_safety_issue"
"Something dangerous spotted on the sidewalk","public_safety_issue"
"Potential hazard noticed in public area","public_safety_issue"

"Illegal dumping of rubbish behind shops","environmental_issue"
"Trash piling up near river","environmental_issue"
"Garbage not collected for several days","environmental_issue"
"Waste dumped along roadside","environmental_issue"
"Improper disposal of household waste","environmental_issue"
"Large amount of rubbish left in open area","environmental_issue"
"Environmental pollution due to waste dumping","environmental_issue"
"Garbage scattered around public area","environmental_issue"
"Overflowing trash bins attracting pests","environmental_issue"
"Illegal dumping near residential area","environmental_issue"
"Plastic waste polluting nearby drain","environmental_issue"
"Rubbish thrown behind shop lots","environmental_issue"
"Uncontrolled waste disposal observed","environmental_issue"
"Environmental cleanliness issue reported","environmental_issue"
"Garbage accumulation causing bad smell","environmental_issue"
"Waste materials dumped near riverbank","environmental_issue"
"Trash blocking drainage system","environmental_issue"
"Improper waste management observed","environmental_issue"
"Public area polluted with rubbish","environmental_issue"
"Environmental issue affecting community","environmental_issue"

"Not sure what happened but it looks unsafe","other"
"Something unusual noticed in the area","other"
"Incident reported without clear details","other"
"Unknown issue affecting the area","other"
"Situation requires inspection","other"
"Unclear incident reported by resident","other"
"Something seems wrong but unsure","other"
"General issue reported without details","other"
"Problem noticed but cannot identify","other"
"Unspecified incident needs checking","other"
